,Fold,Lambda Value,Test Accuracy,Training Accuracy,Test Error,Train Error
0,1,0.0,73.20261437908496,79.51219512195122,0.17739067521946147,0.17739067521946147
1,2,0.0,79.08496732026144,77.88617886178861,0.15153231146605783,0.15153231146605783
2,3,0.0,83.00653594771242,77.07317073170732,0.13357392784595562,0.13357392784595562
3,4,0.0,78.43137254901961,77.88617886178861,0.1493265219091495,0.1493265219091495
4,5,0.0,73.20261437908496,79.34959349593495,0.17475466801805187,0.17475466801805187
5,1,0.0001,73.20261437908496,79.51219512195122,0.1773906662268059,0.1773906662268059
6,2,0.0001,79.08496732026144,77.88617886178861,0.15153232000596903,0.15153232000596903
7,3,0.0001,83.00653594771242,77.07317073170732,0.13357394205993223,0.13357394205993223
8,4,0.0001,78.43137254901961,77.88617886178861,0.1493265127174812,0.1493265127174812
9,5,0.0001,73.20261437908496,79.34959349593495,0.17475464533119944,0.17475464533119944
10,1,0.0006,73.20261437908496,79.51219512195122,0.1773906212657483,0.1773906212657483
11,2,0.0006,79.08496732026144,77.88617886178861,0.1515323627070159,0.1515323627070159
12,3,0.0006,83.00653594771242,77.07317073170732,0.13357401313081835,0.13357401313081835
13,4,0.0006,78.43137254901961,77.88617886178861,0.14932646676220906,0.14932646676220906
14,5,0.0006,73.20261437908496,79.34959349593495,0.17475453190088308,0.17475453190088308
15,1,0.003,73.20261437908496,79.51219512195122,0.1773904055041791,0.1773904055041791
16,2,0.003,79.08496732026144,77.88617886178861,0.15153256770663168,0.15153256770663168
17,3,0.003,83.00653594771242,77.07317073170732,0.1335743542943457,0.1335743542943457
18,4,0.003,78.43137254901961,77.88617886178861,0.14932624624810803,0.14932624624810803
19,5,0.003,73.20261437908496,79.34959349593495,0.1747539875269092,0.1747539875269092
20,1,0.1,73.20261437908496,79.51219512195122,0.17738175628807817,0.17738175628807817
21,2,0.1,79.08496732026144,77.88617886178861,0.15154090084848407,0.15154090084848407
22,3,0.1,83.00653594771242,77.07317073170732,0.1335881750930667,0.1335881750930667
23,4,0.1,78.43137254901961,77.88617886178861,0.14931743215511709,0.14931743215511709
24,5,0.1,73.20261437908496,79.34959349593495,0.1747321122116199,0.1747321122116199
25,1,0.5,73.20261437908496,79.51219512195122,0.177347535374009,0.177347535374009
26,2,0.5,79.08496732026144,77.88617886178861,0.15157623060613126,0.15157623060613126
27,3,0.5,83.00653594771242,77.07317073170732,0.1336458163031692,0.1336458163031692
28,4,0.5,78.43137254901961,77.88617886178861,0.149283083781229,0.149283083781229
29,5,0.5,73.20261437908496,79.51219512195122,0.1746444763502439,0.1746444763502439
30,1,100.0,69.93464052287581,78.04878048780488,0.1840418843042973,0.1840418843042973
31,2,100.0,76.47058823529412,75.9349593495935,0.16671013775571297,0.16671013775571297
32,3,100.0,83.00653594771242,76.09756097560975,0.1505119202065734,0.1505119202065734
33,4,100.0,77.12418300653596,76.91056910569107,0.16061282813826105,0.16061282813826105
34,5,100.0,74.50980392156863,76.58536585365854,0.1802398262224067,0.1802398262224067
35,1,300.0,66.66666666666666,73.33333333333333,0.1969069459101862,0.1969069459101862
36,2,300.0,71.24183006535948,71.70731707317073,0.18583181604361573,0.18583181604361573
37,3,300.0,79.08496732026144,70.5691056910569,0.1709064866118497,0.1709064866118497
38,4,300.0,73.8562091503268,72.03252032520325,0.17879998071488964,0.17879998071488964
39,5,300.0,71.89542483660131,73.00813008130082,0.19293197322098898,0.19293197322098898
40,1,40000.0,63.39869281045751,65.52845528455285,,
41,2,40000.0,63.39869281045751,65.52845528455285,,
42,3,40000.0,67.3202614379085,64.55284552845528,,
43,4,40000.0,66.01307189542483,64.8780487804878,,
44,5,40000.0,65.359477124183,65.04065040650406,,
45,1,inf,63.39869281045751,65.52845528455285,,
46,2,inf,63.39869281045751,65.52845528455285,,
47,3,inf,67.3202614379085,64.55284552845528,,
48,4,inf,66.01307189542483,64.8780487804878,,
49,5,inf,65.359477124183,65.04065040650406,,
